Time: 7.680000 Joint Angle [-0.06543,  0.56747,  0.47155, -1.49207, -0.26598,  1.14250,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.695000 Joint Angle [-0.06543,  0.56771,  0.47146, -1.49183, -0.26610,  1.14252,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.710000 Joint Angle [-0.06543,  0.56794,  0.47140, -1.49159, -0.26623,  1.14253,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.725000 Joint Angle [-0.06543,  0.56817,  0.47137, -1.49138, -0.26637,  1.14254,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.740000 Joint Angle [-0.06543,  0.56837,  0.47137, -1.49119, -0.26651,  1.14255,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.755000 Joint Angle [-0.06543,  0.56856,  0.47137, -1.49105, -0.26665,  1.14256,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.770000 Joint Angle [-0.06543,  0.56874,  0.47137, -1.49091, -0.26677,  1.14256,  0.44968] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.785000 Joint Angle [-0.06543,  0.56891,  0.47138, -1.49079, -0.26686,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.800000 Joint Angle [-0.06543,  0.56906,  0.47139, -1.49070, -0.26695,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.815000 Joint Angle [-0.06543,  0.56919,  0.47139, -1.49063, -0.26703,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
