Time: 7.530000 Joint Angle [ 0.04214,  0.53323,  0.29233, -1.51125, -0.14207,  1.10550,  0.34521] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.545000 Joint Angle [ 0.04217,  0.53317,  0.29243, -1.51177, -0.14207,  1.10688,  0.34523] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.560000 Joint Angle [ 0.04220,  0.53305,  0.29257, -1.51248, -0.14207,  1.10825,  0.34525] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.575000 Joint Angle [ 0.04221,  0.53286,  0.29290, -1.51336, -0.14207,  1.10955,  0.34528] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.590000 Joint Angle [ 0.04221,  0.53263,  0.29336, -1.51433, -0.14207,  1.11041,  0.34531] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.605000 Joint Angle [ 0.04221,  0.53238,  0.29387, -1.51526, -0.14207,  1.11101,  0.34536] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.620000 Joint Angle [ 0.04221,  0.53217,  0.29433, -1.51609, -0.14207,  1.11112,  0.34542] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.635000 Joint Angle [ 0.04221,  0.53195,  0.29480, -1.51671, -0.14207,  1.11110,  0.34548] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.650000 Joint Angle [ 0.04221,  0.53180,  0.29529, -1.51708, -0.14208,  1.11104,  0.34556] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.665000 Joint Angle [ 0.04221,  0.53175,  0.29572, -1.51712, -0.14209,  1.11102,  0.34565] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.680000 Joint Angle [ 0.04221,  0.53177,  0.29599, -1.51692, -0.14209,  1.11096,  0.34588] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
