Time: 7.605000 Joint Angle [ 0.07437,  0.54247,  0.25709, -1.48857, -0.13299,  1.12279,  0.34820] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.620000 Joint Angle [ 0.07437,  0.54254,  0.25709, -1.48848, -0.13299,  1.12280,  0.34826] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.635000 Joint Angle [ 0.07437,  0.54261,  0.25709, -1.48842, -0.13299,  1.12280,  0.34831] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.650000 Joint Angle [ 0.07437,  0.54267,  0.25709, -1.48838, -0.13299,  1.12280,  0.34836] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.665000 Joint Angle [ 0.07437,  0.54274,  0.25710, -1.48836, -0.13299,  1.12280,  0.34841] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.680000 Joint Angle [ 0.07437,  0.54280,  0.25710, -1.48835, -0.13299,  1.12280,  0.34845] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.695000 Joint Angle [ 0.07437,  0.54286,  0.25710, -1.48835, -0.13299,  1.12280,  0.34849] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.710000 Joint Angle [ 0.07437,  0.54292,  0.25710, -1.48835, -0.13299,  1.12280,  0.34852] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.725000 Joint Angle [ 0.07437,  0.54298,  0.25710, -1.48834, -0.13299,  1.12280,  0.34856] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.740000 Joint Angle [ 0.07437,  0.54305,  0.25710, -1.48834, -0.13299,  1.12279,  0.34859] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.755000 Joint Angle [ 0.07437,  0.54312,  0.25710, -1.48833, -0.13300,  1.12279,  0.34863] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.770000 Joint Angle [ 0.07437,  0.54319,  0.25710, -1.48832, -0.13300,  1.12279,  0.34867] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.785000 Joint Angle [ 0.07437,  0.54326,  0.25710, -1.48831, -0.13300,  1.12279,  0.34872] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.800000 Joint Angle [ 0.07437,  0.54334,  0.25710, -1.48828, -0.13300,  1.12279,  0.34877] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.815000 Joint Angle [ 0.07437,  0.54342,  0.25710, -1.48825, -0.13300,  1.12279,  0.34881] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.830000 Joint Angle [ 0.07437,  0.54351,  0.25710, -1.48821, -0.13300,  1.12279,  0.34884] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
